document_id,filename,supplier,product_family,product,document_type,source_url,pages,text_type,has_tables,has_figures,multi_column,layout_complexity,notes
doc_001,barthhaas-co2_hop_extract_oil_enriched-tds.pdf,BarthHaas,hop_extracts,CO2 Hop Extract (Oil enriched),tds,https://www.barthhaasx.com/fileadmin/user_upload/downloads/sharepoint/co2-hop-extract-oil-enriched-tds-en.pdf,2,born_digital,true,false,false,moderate,"Rev. 11; approved 2025-03-17"
doc_002,barthhaas-co2_hop_extract_oil_reduced-tds.pdf,BarthHaas,hop_extracts,CO2 Hop Extract (Oil reduced),tds,https://www.barthhaasx.com/fileadmin/user_upload/downloads/sharepoint/co2-hop-extract-oil-reduced-tds-en.pdf,3,born_digital,true,false,false,moderate,"Rev. 9; approved 2024-02-28"
doc_003,barthhaas-co2_hop_extract-sds.pdf,BarthHaas,hop_extracts,CO2 Hop Extract,sds,https://www.barthhaasx.com/fileadmin/user_upload/downloads/sharepoint/co2-hop-extract-sds.pdf,9,born_digital,true,false,false,moderate,"Rev. 12; approved 2024-02-29"
doc_004,barthhaas-co2_hop_extract-tds.pdf,BarthHaas,hop_extracts,CO2 Hop Extract,tds,https://www.barthhaasx.com/fileadmin/user_upload/downloads/sharepoint/co2-hop-extract-tds-en.pdf,3,born_digital,true,false,false,moderate,"Rev. 9; approved 2024-02-28"
doc_005,nutsinbulk-basil_dried-product-specs.pdf,Nuts in Bulk,herbs,Basil dried,product_spec,https://www.nutsinbulk.eu/document/preview/12/DIDrh435z0QJmwlOYljUh4CjWOKPp9fwAhGm2NIG.pdf,6,mixed,true,false,false,complex,"Edition 5; revised June 2023; page 6 contains image-based allergen table"
doc_006,nutsinbulk-cinnamon_sticks-product-specs.pdf,Nuts in Bulk,spices,Cassia vera AA cuttings,product_spec,https://www.nutsinbulk.eu/document/preview/12/ou4aMJoAiWLjKt4W46dsPwbgxcIR4YMcGlfYAJk8.pdf,7,mixed,true,false,false,complex,"Edition 5; revised June 2023; page 6 contains image-based allergen table"
doc_007,nutsinbulk-dark_pink_himalayan_salt-product-specs.pdf,Nuts in Bulk,salt,Dark Pink Himalayan Salt,product_spec,https://www.nutsinbulk.eu/document/preview/249/bcrgPTrIw3jR6DvJX7As6oNCUmApnvcP8sEfvWXB.pdf,4,scanned_image_only,true,false,false,complex,"CamScanner document; image-based specification with tables and allergen matrix"
doc_008,nutsinbulk-org_coconut_milk-product-specs.pdf,Nuts in Bulk,coconut,Organic Coconut Milk (17% Fat),product_spec,https://www.nutsinbulk.eu/document/preview/3/XnitUxMPUPMtspLgw3hoI6y12FH9hIwTMemFHN5m.pdf,4,born_digital,true,false,false,complex,"Canned product; shelf life 24 months"
doc_009,nutsinbulk-org_coconut_milk_powder-product-specs.pdf,Nuts in Bulk,coconut,Organic Coconut Milk Powder 35-45%,product_spec,https://www.nutsinbulk.eu/document/preview/231/JRcJvDUl0fKMPNfwu6LYXXyWRQyNibDTSYNE3x7q.pdf,5,born_digital,true,false,false,complex,"Effective date 08/12/2025; article code GNEU-12528217-LK [2]"
doc_010,nutsinbulk-org_mushroom_blend_powder-product-specs.pdf,Nuts in Bulk,mushrooms,Organic 7 Mushroom Blend,tds,https://www.nutsinbulk.eu/document/preview/68/MdvfsuKfefdsTu7qDyEGyf1mNLt4Zp1NpW6Mfdrp.pdf,12,mixed,true,true,false,complex,"TDS-BULK01MUSHROOM; issue 2; dated 31/08/2023; includes process-flow diagram and image-based allergen table"
